test_lect,test_mate,test_soc,test_nat,privateHS,wage,male,momschooling2,momschooling3,momschooling_miss,dadschooling2,dadschooling3,dadschooling_miss,broken_home1,broken_home_miss,incomehh2,incomehh3,incomehh_miss,north,center,share_private,avg_price
1.095989,.7854231,-1.011047,-.3213262,0,9.3891525,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.6923077,.10655018
.4797937,-.0961195,.1312426,.7024128,1,5.3191152,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.7272727,.21739165
-.190384,.1737402,.1486354,.7382179,1,9.2333219,0,0,0,0,1,0,0,1,0,1,0,0,0,1,.5,.04958201
-.1402008,-.4955126,-.6328157,-.7447837,1,10.01376,1,0,1,0,1,0,0,1,0,0,1,0,0,1,.8108108,.31813516
-.4069122,.705065,-.8065381,-.312525,1,9.0645822,1,1,0,0,0,1,0,0,0,0,1,0,0,1,.5757576,.19301433
.2138816,.854587,.0804654,.1257343,1,9.5272637,0,1,0,0,0,1,0,1,0,0,1,0,0,1,.7777778,.11880343
.4911895,.1269646,1.070024,1.332099,1,7.2758289,1,1,0,0,0,1,0,0,0,0,1,0,0,0,.6,.211627
-.9069465,-2.094283,-2.084767,-1.623503,0,8.226407,1,1,0,0,0,0,0,0,0,1,0,0,0,1,.8,.18182649
-1.586721,-.8375351,-.2271971,-1.122635,1,9.6807729,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.6666667,.06627943
.1061173,.7636344,1.244346,.1841425,1,8.2710648,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.5,.04958201
-1.505148,-.4539341,-.5744418,-1.039424,0,5.6302481,1,0,0,1,0,0,1,1,0,1,0,0,0,1,.7272727,.21739165
1.232744,.9419422,.5966346,.8838376,1,9.8728254,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,.04056966
1.658203,1.771112,2.336857,1.589333,0,9.2322264,1,1,0,0,1,0,0,0,1,0,0,1,0,1,.7619048,.16574368
.1547014,.7564378,.1310431,-.1118978,0,8.8894289,1,0,0,0,0,1,0,1,0,1,0,0,0,1,.625,.08451056
1.087792,1.105457,1.362493,1.015655,0,9.6105426,1,0,0,0,1,0,0,0,0,1,0,0,1,0,.5,.12517746
.2378738,.3620428,.1878177,-.2007099,1,8.9446029,1,0,0,0,0,0,0,0,1,0,0,1,0,1,.7619048,.16574368
.8630662,.7520407,.0716696,-1.589098,1,8.1231511,1,1,0,0,0,1,0,0,0,0,1,0,0,1,.5757576,.19301433
